"transection_cost","date","invoice_no","customer","no_of_products","weekend_orders","string_agg"
"505.30","2009-12-01","489434",13085,"8",0,"Tuesday"
"145.80","2009-12-01","489435",13085,"4",0,"Tuesday"
"630.33","2009-12-01","489436",13078,"19",0,"Tuesday"
"310.75","2009-12-01","489437",15362,"23",0,"Tuesday"
"2286.24","2009-12-01","489438",18102,"17",0,"Tuesday"
"426.30","2009-12-01","489439",12682,"19",0,"Tuesday"
"50.40","2009-12-01","489440",18087,"2",0,"Tuesday"
"344.34","2009-12-01","489441",18087,"4",0,"Tuesday"
"382.37","2009-12-01","489442",13635,"23",0,"Tuesday"
"285.06","2009-12-01","489443",14110,"7",0,"Tuesday"
"141.00","2009-12-01","489444",12636,"1",0,"Tuesday"
"308.44","2009-12-01","489445",17519,"19",0,"Tuesday"
"996.10","2009-12-01","489446",13758,"27",0,"Tuesday"
"130.00","2009-12-01","489447",12362,"1",0,"Tuesday"
"570.24","2009-12-01","489448",15413,"4",0,"Tuesday"
"196.10","2009-12-01","489450",16321,"9",0,"Tuesday"
"485.79","2009-12-01","489460",16167,"15",0,"Tuesday"
"589.33","2009-12-01","489461",17865,"26",0,"Tuesday"
"148.30","2009-12-01","489462",17592,"13",0,"Tuesday"
"0.00","2009-12-01","489463",-1,"1",0,"Tuesday"
"0.00","2009-12-01","489464",-1,"1",0,"Tuesday"
"1197.80","2009-12-01","489465",13767,"19",0,"Tuesday"
"0.00","2009-12-01","489467",-1,"1",0,"Tuesday"
"251.10","2009-12-01","489488",17238,"30",0,"Tuesday"
"255.50","2009-12-01","489505",15712,"10",0,"Tuesday"
"823.02","2009-12-01","489514",15311,"32",0,"Tuesday"
"282.46","2009-12-01","489517",16329,"38",0,"Tuesday"
"696.73","2009-12-01","489519",17700,"38",0,"Tuesday"
"733.63","2009-12-01","489520",14911,"30",0,"Tuesday"
"0.00","2009-12-01","489521",-1,"1",0,"Tuesday"
"700.31","2009-12-01","489522",15998,"104",0,"Tuesday"
"1160.00","2009-12-01","489523",12931,"1",0,"Tuesday"
"1.40","2009-12-01","489525",-1,"2",0,"Tuesday"
"929.92","2009-12-01","489526",12533,"44",0,"Tuesday"
"229.46","2009-12-01","489529",17984,"50",0,"Tuesday"
"145.00","2009-12-01","489531",14871,"14",0,"Tuesday"
"304.53","2009-12-01","489532",13394,"20",0,"Tuesday"
"192.75","2009-12-01","489533",16011,"22",0,"Tuesday"
"367.41","2009-12-01","489536",16393,"130",0,"Tuesday"
"633.33","2009-12-01","489537",14040,"59",0,"Tuesday"
"2887.14","2009-12-01","489539",15061,"17",0,"Tuesday"
"537.96","2009-12-01","489540",12913,"5",0,"Tuesday"
"387.60","2009-12-01","489542",15061,"2",0,"Tuesday"
"281.82","2009-12-01","489544",14341,"14",0,"Tuesday"
"124.95","2009-12-01","489545",17804,"32",0,"Tuesday"
