"customer_id","last_purchase_date","frequency","monetary_value"
-1,"2010-12-09","5229","1191276.06"
12346,"2010-10-04","15","-64.68"
12347,"2010-12-07","2","1323.32"
12348,"2010-09-27","1","222.16"
12349,"2010-10-28","4","2646.99"
12351,"2010-11-29","1","300.93"
12352,"2010-11-29","2","343.80"
12353,"2010-10-27","1","317.76"
12355,"2010-05-21","1","488.21"
12356,"2010-11-24","3","3562.25"
12357,"2010-11-16","2","12079.99"
12358,"2010-11-29","3","2719.01"
12359,"2010-10-10","8","2469.36"
12360,"2010-11-25","6","1550.83"
12361,"2010-09-03","3","321.35"
12362,"2009-12-01","1","130.00"
12366,"2010-03-16","1","500.24"
12368,"2010-03-21","1","917.70"
12369,"2010-10-22","3","1791.15"
12370,"2010-03-25","3","774.62"
12371,"2010-10-26","3","2179.42"
12373,"2010-03-25","2","763.05"
12374,"2010-10-14","3","2246.29"
12376,"2010-11-15","2","503.15"
12377,"2010-11-23","2","1798.20"
12378,"2010-05-26","1","1407.70"
12379,"2010-10-13","2","767.98"
12380,"2010-11-23","10","5167.44"
12382,"2010-01-26","1","-18.38"
12385,"2010-11-25","2","1923.40"
12386,"2010-12-08","1","258.90"
12387,"2010-10-20","1","143.94"
12388,"2010-09-20","2","1120.45"
12389,"2010-11-02","3","1433.33"
12391,"2010-09-01","6","2286.93"
12392,"2010-04-27","1","234.75"
12393,"2010-11-22","3","794.15"
12395,"2010-12-03","4","2048.64"
12396,"2010-02-03","1","931.43"
12399,"2010-11-19","3","853.65"
12400,"2010-10-21","1","205.25"
12402,"2010-11-12","6","1018.55"
12403,"2010-07-06","1","591.66"
12404,"2010-01-26","1","63.24"
12406,"2010-11-16","4","2791.46"
12408,"2010-11-25","5","1437.07"
12409,"2010-10-15","6","12033.54"
12410,"2010-07-25","1","320.38"
12411,"2010-10-26","1","346.90"
12412,"2010-11-02","5","1354.15"
12413,"2010-11-02","1","241.35"
12414,"2010-09-02","5","130.00"
12415,"2010-11-29","7","19543.84"
12416,"2010-02-21","1","202.56"
12417,"2010-11-03","15","3129.41"
12418,"2010-10-22","4","1348.37"
12419,"2010-11-19","2","503.01"
12421,"2010-10-20","3","286.56"
12422,"2010-11-10","18","3315.79"
12423,"2010-11-17","2","763.08"
12424,"2010-10-13","5","1528.82"
12425,"2010-10-05","2","903.61"
12426,"2010-03-03","2","728.68"
12427,"2010-12-03","1","303.50"
12429,"2010-12-09","6","3685.11"
12431,"2010-12-01","16","4303.02"
12433,"2010-12-08","6","7052.99"
12434,"2010-11-23","1","297.29"
12435,"2010-11-08","4","6096.04"
12437,"2010-11-11","28","7498.19"
12439,"2010-01-26","3","1104.48"
12440,"2010-09-08","3","768.15"
12441,"2010-12-08","1","173.55"
12443,"2009-12-07","1","485.31"
12445,"2010-11-04","2","293.08"
12449,"2010-10-25","2","768.60"
12450,"2010-11-05","5","469.07"
12451,"2010-09-02","4","3613.01"
12454,"2010-11-09","7","4292.71"
12455,"2010-09-20","4","3413.09"
12457,"2010-10-18","2","554.53"
12458,"2010-10-08","2","830.09"
12459,"2010-04-13","1","454.36"
12460,"2010-09-09","1","326.65"
12466,"2010-01-26","1","56.73"
12467,"2010-11-18","2","0.00"
12468,"2010-10-05","7","2900.51"
12469,"2010-07-05","2","3070.54"
12470,"2010-01-19","1","211.95"
12471,"2010-12-02","81","19207.69"
12472,"2010-12-05","26","10727.21"
12474,"2010-12-06","25","4849.98"
12475,"2010-10-26","1","426.26"
12476,"2010-11-30","18","7169.04"
12477,"2010-11-05","3","7056.63"
12480,"2010-11-05","4","2153.47"
12481,"2010-12-09","8","6626.17"
12482,"2010-09-16","32","21893.53"
12483,"2010-11-26","14","2519.74"
12484,"2010-08-19","8","1808.58"
12485,"2010-06-28","1","708.10"
12486,"2010-10-04","1","1037.28"
12487,"2009-12-09","2","259.80"
12490,"2010-11-26","12","4400.71"
12492,"2010-11-01","1","452.00"
12494,"2010-12-09","5","604.17"
12495,"2010-03-15","2","323.40"
12496,"2010-03-29","2","54.09"
12497,"2010-11-04","3","5168.65"
12499,"2010-05-28","1","393.72"
12500,"2010-09-30","12","1666.04"
12503,"2010-05-04","1","1126.00"
12504,"2010-10-18","2","297.00"
12505,"2010-11-11","2","912.50"
12507,"2010-05-04","1","539.25"
12510,"2010-09-06","14","2706.76"
12511,"2010-10-21","2","3065.77"
12514,"2010-03-08","1","580.08"
12516,"2010-10-05","2","1336.56"
12519,"2010-09-01","2","354.35"
12523,"2010-11-30","17","2475.28"
12524,"2010-11-16","10","6605.64"
12525,"2010-08-05","8","835.18"
12527,"2010-08-02","2","386.80"
12529,"2010-07-05","2","311.78"
12530,"2010-10-26","7","2066.23"
12531,"2010-01-28","2","1773.83"
12533,"2010-03-31","6","1149.99"
12537,"2010-10-27","1","732.94"
12538,"2010-11-26","1","276.50"
12539,"2010-09-15","3","5646.40"
12540,"2010-11-26","17","8798.25"
12542,"2010-08-12","4","423.38"
12543,"2010-09-17","1","980.25"
12547,"2010-07-27","1","175.78"
12549,"2010-05-13","6","1575.68"
12553,"2010-11-19","3","896.57"
12554,"2010-09-17","1","468.50"
12555,"2010-01-26","1","129.23"
12557,"2010-12-03","4","6725.18"
12562,"2010-11-19","2","1185.18"
12563,"2010-10-27","1","249.24"
12567,"2010-12-07","8","4278.88"
12568,"2010-03-05","1","70.00"
12570,"2010-01-26","1","77.52"
12573,"2010-11-23","4","556.87"
12575,"2010-09-08","2","622.82"
12576,"2010-11-12","5","776.89"
12577,"2010-11-23","5","995.95"
12578,"2010-11-19","3","1819.09"
12580,"2010-05-12","1","637.20"
12582,"2010-10-13","2","1469.04"
12583,"2010-12-01","14","7157.56"
12586,"2010-12-06","4","1848.73"
12588,"2010-11-05","4","724.08"
12589,"2010-10-21","9","2447.49"
12590,"2010-07-26","2","-7.90"
12591,"2010-11-14","2","899.30"
12592,"2010-07-08","6","715.02"
12594,"2010-11-26","6","1724.29"
12595,"2010-07-23","1","299.02"
12598,"2010-09-30","6","1411.99"
12599,"2010-11-23","6","1264.14"
12600,"2010-12-03","16","2374.75"
12601,"2010-10-31","1","104.20"
12605,"2010-12-09","5","1225.45"
12606,"2010-01-26","1","21.00"
12608,"2010-10-31","1","415.79"
12609,"2010-11-30","7","2291.01"
12613,"2010-11-16","7","3372.54"
12615,"2010-10-22","7","3273.69"
12616,"2010-11-22","2","388.10"
12619,"2010-05-28","1","140.14"
12621,"2010-12-09","22","10967.24"
12623,"2010-10-19","8","3334.74"
12625,"2010-07-18","2","2481.06"
12629,"2010-11-19","2","1558.22"
12631,"2010-10-04","6","2811.77"
12632,"2010-07-07","4","738.88"
12633,"2010-11-22","5","3454.58"
12634,"2010-06-22","2","490.00"
12635,"2010-11-12","2","1241.23"
12636,"2009-12-01","1","141.00"
12637,"2010-11-26","4","2318.41"
12638,"2010-03-10","1","249.80"
12639,"2010-10-01","2","826.27"
12643,"2010-11-19","8","4536.26"
12644,"2010-10-05","5","1337.63"
12645,"2010-10-26","5","1743.72"
12647,"2010-12-07","35","14012.87"
12648,"2010-10-01","4","778.95"
12649,"2010-12-09","7","1634.99"
12651,"2010-11-26","4","251.30"
12652,"2010-10-01","1","97.05"
12653,"2010-07-01","1","1950.98"
12655,"2010-10-12","1","261.35"
12656,"2010-10-10","4","2338.06"
12661,"2010-09-29","1","162.00"
12662,"2010-12-01","11","3132.09"
12663,"2010-03-25","3","204.00"
12664,"2010-07-13","2","1188.16"
12665,"2010-10-18","3","239.70"
12666,"2010-11-10","1","1248.42"
12668,"2010-11-26","6","7637.53"
12670,"2010-11-19","2","764.24"
12671,"2010-04-12","1","2622.48"
12672,"2010-04-29","2","184.60"
12673,"2010-11-03","1","619.50"
12675,"2010-06-04","4","934.80"
12676,"2010-10-27","6","1441.70"
12677,"2010-06-02","3","389.30"
12678,"2010-11-29","10","16262.87"
12681,"2010-12-07","30","16874.17"
12682,"2010-12-09","24","11657.59"
12683,"2010-12-09","9","4197.51"
12686,"2010-12-03","1","89.14"
12687,"2010-08-16","2","2138.91"
12691,"2010-10-15","1","134.60"
12692,"2010-03-12","1","110.95"
12693,"2010-11-08","5","809.46"
12694,"2010-10-20","2","969.78"
12695,"2010-06-29","3","825.02"
12696,"2010-10-01","3","801.15"
12698,"2010-04-28","1","339.75"
12699,"2010-10-18","1","638.11"
12701,"2010-06-28","4","1648.70"
12703,"2010-03-16","5","617.48"
12705,"2010-11-30","8","4739.76"
12706,"2010-01-26","1","-91.89"
12708,"2010-12-06","15","2501.84"
12709,"2010-12-08","30","21018.51"
12711,"2010-04-07","2","1339.05"
12712,"2010-12-09","14","2738.03"
12714,"2010-11-16","7","9384.85"
12717,"2010-04-28","1","277.93"
12720,"2010-12-05","13","2334.60"
12721,"2010-12-09","4","1277.70"
12724,"2010-11-21","3","1286.11"
12725,"2010-12-03","4","2266.76"
12726,"2010-11-17","4","1405.50"
12727,"2010-09-23","3","1698.83"
12728,"2010-11-21","1","233.84"
12730,"2010-07-06","1","829.25"
12731,"2010-09-23","5","6879.80"
12733,"2010-11-15","5","1942.87"
12734,"2010-11-30","2","529.25"
12737,"2010-07-29","2","3710.50"
12738,"2010-12-02","1","155.35"
12739,"2010-11-19","2","1713.69"
12741,"2010-06-28","2","406.07"
12742,"2010-04-19","2","1185.02"
12744,"2010-09-06","4","4037.77"
12745,"2010-08-10","3","925.41"
12746,"2010-06-30","3","230.85"
12747,"2010-12-05","22","4968.58"
12748,"2010-12-09","159","20898.03"
12749,"2010-11-19","8","2460.29"
12751,"2010-09-21","1","268.27"
