"customer_id","product_id","description","times_purchased","product_rank"
-1,"DOT","DOTCOM POSTAGE","736","1"
12346,"M","Manual","10","1"
12347,"84558A","3D DOG PICTURE PLAYING CARDS","2","1"
12348,"21211","SET OF 72 SKULL PAPER  DOILIES","1","1"
12349,"22072","TEA CUP AND SAUCER RETRO SPOT","3","1"
12351,"20886","BOX OF 9 PEBBLE CANDLES","1","1"
12352,"21121","SET/10 RED SPOTTY PARTY CANDLES","1","1"
12353,"20617","FIRST CLASS PASSPORT COVER ","1","1"
12355,"20818","GOLD TEDDY BEAR","1","1"
12356,"22423","REGENCY CAKESTAND 3 TIER","2","1"
12357,"10002","INFLATABLE POLITICAL GLOBE ","1","1"
12358,"20679","EDWARDIAN PARASOL RED","2","1"
12359,"22471","TV DINNER TRAY AIR HOSTESS ","3","1"
12360,"POST","POSTAGE","4","1"
12361,"POST","POSTAGE","3","1"
12362,"POST","POSTAGE","1","1"
12366,"21135","VICTORIAN  METAL POSTCARD SPRING","1","1"
12368,"51014C","FEATHER PEN,COAL BLACK","1","1"
12369,"POST","POSTAGE","3","1"
12370,"POST","POSTAGE","3","1"
12371,"POST","POSTAGE","3","1"
12373,"20718","RED SPOTTY SHOPPER BAG","2","1"
12374,"22328","ROUND SNACK BOXES ,SET 4, FRUITS ","2","1"
12376,"79000","MOROCCAN TEA GLASS","2","1"
12377,"21124","SET/10 BLUE SPOTTY PARTY CANDLES","1","1"
12378,"20682","RED SPOTTY CHILDS UMBRELLA","1","1"
12379,"20725","LUNCH BAG RED SPOTTY","2","1"
12380,"POST","POSTAGE","6","1"
12382,"ADJUST","Adjustment by john on 26/01/2010 16","1","1"
12385,"POST","POSTAGE","2","1"
12386,"22557","PLASTERS IN TIN VINTAGE PAISLEY ","1","1"
12387,"21791","VINTAGE HEADS AND TAILS CARD GAME ","1","1"
12388,"22203","MILK PAN RED RETROSPOT","2","1"
12389,"22432","nan","3","1"
12391,"21733","RED HANGING HEART T-LIGHT HOLDER","4","1"
