"total_quanity_sold","total_transections_product","product_id","description","total_cost"
"60141","1920","21212","PACK OF 72 RETRO SPOT CAKE CASES","31738.10"
"58488","3422","85123A","WHITE HANGING HEART T-LIGHT HOLDER","158590.87"
"55202","508","84077","WORLD WAR 2 GLIDERS ASSTD DESIGNS","11418.05"
"49878","2014","85099B","JUMBO BAG RED WHITE SPOTTY ","89114.78"
"48384","235","17003","BROCADE RING PURSE ","8922.80"
"45356","1450","84879","ASSORTED COLOUR BIRD ORNAMENT","73092.99"
"36502","1394","84991","60 TEATIME FAIRY CAKE CASES","18220.50"
"33471","1027","22197","POPCORN HOLDER , SMALL ","29566.62"
"31940","1191","21977","PACK OF 60 PINK PAISLEY CAKE CASES","16245.96"
"27128","1714","21232","STRAWBERRY CERAMIC TRINKET BOX","34496.68"
"25743","34","37410","BLACK AND WHITE PAISLEY FLOWER MUG","3288.65"
"25682","395","21982","nan","8285.21"
"25557","871","21213","PACK OF 72 SKULL CAKE CASES","13316.41"
"24864","399","21980","PACK OF 12 RED SPOTTY TISSUES ","6592.68"
"24692","166","84568","GIRLS ALPHABET IRON ON PATCHES ","5139.58"
"24390","674","84755","COLOUR GLASS T-LIGHT HOLDER HANGING","14956.80"
"23162","368","84347","ROTATING SILVER ANGELS T-LIGHT HLDR","47985.09"
"23003","479","84270","ASSTD DESIGN BUBBLE GUM RING","4836.90"
"22078","919","84992","72 SWEETHEART FAIRY CAKE CASES","11029.83"
"22068","247","21984","PACK OF 12 PINK PAISLEY TISSUES ","5960.10"
"21389","1584","20725","LUNCH BAG RED SPOTTY","36250.84"
"21090","317","21981","PACK OF 12 WOODLAND TISSUES ","5558.50"
"20659","485","15036","ASSORTED COLOURS SILK FAN","14471.71"
"19972","594","71459","HANGING JAM JAR T-LIGHT HOLDER","16333.62"
"19851","1061","85099F","JUMBO BAG STRAWBERRY","35918.34"
"19235","743","21975","PACK OF 60 DINOSAUR CAKE CASES","9264.04"
"19032","369","22492","MINI PAINT SET VINTAGE ","12108.37"
"18973","66","84016","FLAG OF ST GEORGE CAR FLAG","3779.51"
