"frequency_of_return","description"
"257","Manual"
"90","RETRO SPOT CAKE STAND"
"89","POSTAGE"
"82","Discount"
"81","REGENCY CAKESTAND 3 TIER"
"64","RETRO SPOT TRADITIONAL TEAPOT "
"51","WHITE HANGING HEART T-LIGHT HOLDER"
"48","STRAWBERRY CERAMIC TRINKET BOX"
"41","BAKING SET 9 PIECE RETROSPOT "
"41"," Bank Charges"
"40","SAMPLES"
"37","LARGE CAKE STAND  HANGING STRAWBERY"
"34","SET/5 RED SPOTTY LID GLASS BOWLS"
"32","CAKE STAND 3 TIER MAGIC GARDEN"
"31","Adjustment by john on 26/01/2010 16"
"29","JUMBO BAG RED WHITE SPOTTY "
"26","ANTIQUE LILY FAIRY LIGHTS"
"25","RETRO SPOTS BUTTER DISH"
"25","CERAMIC CAKE STAND + HANGING CAKES"
"25","WHITE BEADED GARLAND STRING 20LIGHT"
"24","WOOD 2 DRAWER CABINET WHITE FINISH"
"24","CREAM SWEETHEART MAGAZINE RACK"
"23","GLASS  BEURRE DISH"
"22","RETRO SPOT SMALL MILK JUG"
"21","15CM CHRISTMAS GLASS BALL 20 LIGHTS"
"21","RETRO SPOT TEA SET CERAMIC 11 PC "
"20"," WHITE CHERRY LIGHTS"
"20","RETRO SPOT STORAGE JAR"
"19","VICTORIAN SEWING BOX LARGE"
"19","CREAM SWEETHEART MINI CHEST"
"19","POPCORN HOLDER , SMALL "
"18","LUNCH BAG RED SPOTTY"
"18","WOODEN BOX ADVENT CALENDAR "
"18","PINK CHERRY LIGHTS"
"18","STRAWBERRY FAIRY CAKE TEAPOT"
"17","GUMBALL COAT RACK"
"17","WOOD S/3 CABINET ANT WHITE FINISH"
"17","CHILDS BREAKFAST SET SPACEBOY "
"17","short"
"16","COOKING SET RETROSPOT"
"16","RED SPOTTY ROUND CAKE TINS"
"16","LUNCH BAG  BLACK SKULL."
"16","BAKING SET SPACEBOY DESIGN"
"16","POPCORN HOLDER , LARGE"
"15","SWEETHEART CERAMIC TRINKET BOX"
"14","SET OF 3 COLOURED  FLYING DUCKS"
